tickers
AMZE
GLUPRA
GLUPRB
GLV
GNS
GORO
GPUS
GPUSPRD
GRAF
GRF
GRO
GROY
GTE
HCWC
HNW
HUSA
HWMPR
HYLN
IAF
IAUX
IBO
IDR
IE
IGC
IHT
IMO
INDO
INFU
INLX
INTT
INUV
IOR
ISOU
ITP
ITRG
JOB
KAPA
KNW
KULR
LCTX
LEGT
LEU
LGCY
LGL
LGPS
LODE
LPA
LSF
LUD
MAG
MAIA
MCRP
MGLD
MHH
MI
MITQ
MLSS
MMA
MPTI
MPU
MRT
MSN
MTA
MTNB
MWG
MXC
MYND
MYO
NAK
NBH
NBY
NCL
NEN
NEWP
NFGC
NG
NGD
NHC
NHS
NML
NNVC
NRO
NRXS
NTIP
OBE
OGEN
OPHC
OPPPRC
OPTT
ORLA
OSTX
PAPL
PCGPRA
PCGPRB
PCGPRC
PCGPRD
PCGPRE
PCGPRG
PCGPRH
PCGPRI
PED
